Date,Type,Event
2/16/58,Other Provocation,Hijacking of South Korean Plane
6/15/59,Other Provocation,NK Fighter Jets Attack U.S. Navy Plane
7/30/60,Other Provocation,Exchange of Fire and Sinking of NK Vessel
11/20/62,Other Provocation,Exchange of Fire at DMZ
7/29/63,Other Provocation,Exchange of Fire at DMZ
11/14/64,Other Provocation,NK Attacks U.S. Airforce Plane
4/28/65,Other Provocation,NK Fighter Jets Attack U.S. Reconnaissance Plane
5/17/66,Other Provocation,Infiltration and Incursion
11/2/66,Other Provocation,Exchange of Fire at DMZ
1/19/67,Other Provocation,Sinking of South Korean Patrol Boat
4/12/67,Other Provocation,Infiltration and Incursion (Territorial)
4/17/67,Other Provocation,Infiltration and Incursion (Maritime)
5/22/67,Other Provocation,Attack on U.S. Military Barracks
6/10/67,Other Provocation,Infiltration and Incursion
6/17/67,Other Provocation,Infiltration and Incursion
6/23/67,Other Provocation,Infiltration and Incursion
6/28/67,Other Provocation,Infiltration and Incursion
6/29/67,Other Provocation,Infiltration and Incursion
7/3/67,Other Provocation,Infiltration and Incursion
7/5/67,Other Provocation,Infiltration and Incursion
7/14/67,Other Provocation,Infiltration and Incursion
7/18/67,Other Provocation,Infiltration and Incursion
8/10/67,Other Provocation,Ambush on U.S. Soldiers
8/28/67,Other Provocation,Ambush on U.S. Soldiers
8/29/67,Other Provocation,Ambush on U.S. Soldiers
9/5/67,Other Provocation,Bombing of Train Station Terror Act
9/13/67,Other Provocation,Bombing of Train Station Terror Act
1/21/68,Other Provocation,Raid on Blue House (Cheong Wa Dae)
1/23/68,Other Provocation,Seizure of USS Pueblo
4/14/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at DMZ
4/21/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at DMZ
8/5/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at DMZ
8/21/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at Jeju Island
8/24/68,Other Provocation,Infiltration and Incursion - Arrest of Spy Ring Jeju Island
8/29/68,Other Provocation,Infiltration and Incursion - Exchange of Fire
9/19/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at DMZ
9/24/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at West MDL
10/23/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at DMZ
10/30/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok
10/31/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok
11/1/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok
11/2/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok
11/3/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at Uljin & Samcheok
11/12/68,Other Provocation,Infiltration and Incursion - Exchange of Fire at Uljin
3/15/69,Other Provocation,Infiltration and Incursion - Exchange of Fire at DMZ
3/18/69,Other Provocation,Assault by NK Armed Agents
4/15/69,Other Provocation,Attack on U.S. Reconnaissance Plane
6/8/69,Other Provocation,Infiltration and Sinking of North Korean Vessel
6/12/69,Other Provocation,Capture of NK Spy Naval Vessel
10/13/69,Other Provocation,Sinking of NK Spy Naval Vessel
12/11/69,Other Provocation,Hijacking of South Korean Plane
3/31/70,Other Provocation,Hijacking of JAL aircraft (Boeing 727)
4/4/70,Other Provocation,Infiltration and Sinking of North Korean Vessel
4/8/70,Other Provocation,Infiltration and Incursion
6/5/70,Other Provocation,Seizure of South Korean Broadcasting Vessel
6/29/70,Other Provocation,Infiltration and Capture of North Korean Vessel
7/28/70,Other Provocation,Infiltration and Sinking of North Korean Vessel
10/10/70,Other Provocation,Infiltration and Sinking of North Korean Vessel
1/23/71,Other Provocation,Attempted Hijacking of KAL aircraft
5/14/71,Other Provocation,Infiltration and Sinking of North Korean Vessel
6/1/71,Other Provocation,Infiltration and Incursion
8/16/71,Other Provocation,Infiltration and Incursion - Exchange of Fire at DMZ
3/7/73,Other Provocation,Exchange of Fire at DMZ
2/15/74,Other Provocation,Sinking of SK Fishing Boats and 30 Fishermen Detained
5/21/74,Other Provocation,Infiltration and Incursion
6/28/74,Other Provocation,Sinking of South Korean Coast Guard Vessel
8/15/74,Other Provocation,Attempted Assasination of President Park Chung-hee
11/20/74,Other Provocation,Infiltration and Discovery of NK Tunnel System
2/26/75,Other Provocation,Collision and Sinking of North Korean Vessel
6/30/75,Other Provocation,Major Henderson Incident
9/11/75,Other Provocation,Infiltration and Incursion
10/6/75,Other Provocation,Infiltration and Sinking of North Korean Vessel
6/21/76,Other Provocation,Infiltration and Incursion
8/18/76,Other Provocation,Panmunjom Axe Murder Incident
4/28/78,Other Provocation,Infiltration and Sinking of North Korean Vessel
5/19/78,Other Provocation,Infiltration and Sinking of North Korean Vessel
11/4/78,Other Provocation,Killing of South Korean Civilians
7/21/79,Other Provocation,Infiltration and Sinking of North Korean Vessel
3/23/80,Other Provocation,Infiltration and Incursion
6/21/80,Other Provocation,Infiltration and Sinking of North Korean Vessel
11/4/80,Other Provocation,Exchange of Fire
12/2/80,Other Provocation,Infiltration and Sinking of North Korean Vessel
8/26/81,Other Provocation,NK Fires at US Reconnaissance Plane
8/5/83,Other Provocation,Infiltration and Incursion
8/13/83,Other Provocation,Infiltration and Incursion
9/22/83,Other Provocation,Explosion at U.S. Cultural Center in Taegu
10/9/83,Other Provocation,The Rangoon Bombing
12/3/83,Other Provocation,Infiltration and Incursion
2/16/84,Other Provocation,Assault and Assassination Attempt
4/1/84,Missile Provocation,Short-range Ballistic Missile Launch
9/1/84,Missile Provocation,Short-range Ballistic Missile Launch
9/24/84,Other Provocation,Assault and Assassination Attempt
11/23/84,Other Provocation,Exchange of Fire (Ground)
6/7/85,Missile Provocation,Short-range Ballistic Missile Launch
10/20/85,Other Provocation,Infiltration and Incursion
4/24/86,Other Provocation,Exchange of Fire (Maritime)
9/14/86,Other Provocation,Airport Terror Bombing
11/21/87,Other Provocation,Exchange of Fire (Ground)
11/29/87,Other Provocation,Bombing of South Korean Civilian Aircraft
3/3/90,Other Provocation,Infiltration and Incursion
5/1/90,Missile Provocation,Medium-range Ballistic Missile Launch
6/1/90,Missile Provocation,Short-range Ballistic Missile Launch
7/1/91,Missile Provocation,Joint Missile Test with China
7/1/91,Missile Provocation,Short-range Ballistic Missile Launch
5/22/92,Other Provocation,Infiltration and Incursion
6/1/92,Missile Provocation,Medium-range Ballistic Missile Launch
3/12/93,Other Provocation,Withdrawal from NPT
5/29/93,Missile Provocation,Medium-range Ballistic Missile Launch
5/30/93,Missile Provocation,Medium-range Ballistic Missile Launch
5/31/94,Missile Provocation,Anti-Ship Cruise Missile Launch
6/2/94,Missile Provocation,Anti-Ship Cruise Missile Launch
12/17/94,Other Provocation,U.S. Helicopter Shot Down
3/31/95,Missile Provocation,Anti-Ship Cruise Missile Launch
8/1/95,Other Provocation,Detainment of South Korean Vessel
10/17/95,Other Provocation,Infiltration and Incursion
10/25/95,Other Provocation,Infiltration and Incursion
4/5/96,Other Provocation,Territorial Provocation (Ground)
4/6/96,Other Provocation,Territorial Provocation (Ground)
4/7/96,Other Provocation,Territorial Provocation (Ground)
9/18/96,Other Provocation,Infiltration and Incursion
9/19/96,Other Provocation,Exchange of Fire (Ground)
9/21/96,Other Provocation,Exchange of Fire (Ground)
9/22/96,Other Provocation,Exchange of Fire (Ground)
9/28/96,Other Provocation,Exchange of Fire (Ground)
9/30/96,Other Provocation,Exchange of Fire (Ground)
11/5/96,Other Provocation,Exchange of Fire from Manhunt - Final Incident
4/10/97,Other Provocation,Exchange of Fire (Ground)
5/23/97,Missile Provocation,Anti-Ship Cruise Missile Launch
6/5/97,Other Provocation,Territorial Provocation (Maritime)
7/16/97,Other Provocation,Exchange of Fire (Ground)
6/22/98,Other Provocation,Infiltration and Incursion
7/12/98,Other Provocation,Infiltration and Incursion
8/31/98,Missile Provocation,Intermediate-range Ballistic Missile Launch
11/20/98,Other Provocation,Infiltration and Incursion
12/17/98,Other Provocation,Infiltration and Incursion
3/24/99,Other Provocation,Territorial Incursion (Maritime)
6/15/99,Other Provocation,The First Yeonpyeong Naval Campaign
9/2/99,Other Provocation,Maritime Boundary Declaration
3/23/00,Other Provocation,Maritime Boundary Declaration
9/19/01,Other Provocation,Territorial Incursion (Ground)
9/20/01,Other Provocation,Territorial Incursion (Ground)
11/27/01,Other Provocation,Exchange of Fire (Ground)
12/22/01,Other Provocation,Territorial Incursion (Maritime)
12/22/01,Other Provocation,Territorial Incursion (Maritime)
6/29/02,Other Provocation,The Second Yeonpyeong Naval Campaign
2/20/03,Other Provocation,Territorial Incursion (Air)
2/24/03,Missile Provocation,Anti-Ship Cruise Missile Launch
3/2/03,Other Provocation,Aircraft Interception
3/10/03,Missile Provocation,Anti-Ship Cruise Missile Launch
6/1/03,Other Provocation,Territorial Incursion (Maritime)
7/17/03,Other Provocation,Exchange of Fire (Ground)
8/8/03,Other Provocation,Territorial Incursion (Maritime)
8/23/03,Other Provocation,Territorial Incursion (Maritime)
10/20/03,Missile Provocation,Anti-Ship Cruise Missile Launch
10/30/03,Other Provocation,Territorial Incursion (Maritime)
11/24/03,Other Provocation,Territorial Incursion (Maritime)
11/1/04,Other Provocation,Territorial Incursion (Maritime)
5/1/05,Missile Provocation,Anti-Ship Cruise Missile Launch
3/7/06,Missile Provocation,Short-range Missile Launch
7/4/06,Missile Provocation,Inter-Continental Ballistic Missile/Short-Range Missile Launches
10/9/06,Nuclear Provocation,Nuclear Test
5/25/07,Missile Provocation,Short-range Ballistic Missile Launch
6/7/07,Missile Provocation,Anti-Ship Cruise Missile Launch
6/27/07,Missile Provocation,Short-range Ballistic Missile Launch
3/28/08,Missile Provocation,Anti-Ship Cruise Missile Launch
5/30/08,Missile Provocation,Anti-Ship Cruise Missile Launch
10/7/08,Missile Provocation,Anti-Ship Cruise Missile Launch
4/5/09,Missile Provocation,Satellite Launch (Other Provocation)
5/25/09,Nuclear Provocation,Nuclear Test / Short-range missile launch
5/26/09,Missile Provocation,Short-range Missile Launch
5/27/09,Missile Provocation,Short-range Missile Launch
5/29/09,Missile Provocation,Short-range Missile Launch
7/2/09,Missile Provocation,Short-range Missile Launch
7/4/09,Missile Provocation,Medium-range Ballistic Missile Launch
7/30/09,Other Provocation,Fishing Boat Seizure at NLL
10/12/09,Missile Provocation,Short-range Ballistic Missile Launch
11/10/09,Other Provocation,Daecheong Naval Campaign
1/26/10,Other Provocation,No-Sail Zone Declared
1/27/10,Other Provocation,Artillery Fire
1/28/10,Other Provocation,Artillery Fire
1/29/10,Other Provocation,Artillery Fire
1/31/10,Other Provocation,No-Sail Zone Declared
3/26/10,Other Provocation,Sinking of the ROKS Cheonan
8/9/10,Other Provocation,Artillery Fire
11/12/10,Nuclear Provocation,Uranium Enrichment Program Disclosure
11/23/10,Other Provocation,Shelling of Yeonpyeong Island
6/8/11,Missile Provocation,Short-range Surface-to-Air Missile Launch
3/29/12,Missile Provocation,Anti-Ship Cruise Missile Launch
4/13/12,Missile Provocation,Satellite Launch (Other Provocation)
12/12/12,Missile Provocation,Satellite Launch (Other Provocation)
2/12/13,Nuclear Provocation,Nuclear Test
3/15/13,Missile Provocation,Short-range Ballistic Missile Launch
5/18/13,Missile Provocation,Short-range Ballistic Missile Launch
5/19/13,Missile Provocation,Short-range Missile Launch
5/20/13,Missile Provocation,Short-range Ballistic Missile Launch
8/29/13,Nuclear Provocation,Nuclear Fuel Reactor Operation
2/27/14,Missile Provocation,Short-range Ballistic Missile Launch
3/3/14,Missile Provocation,Short-range Ballistic Missile Launch
3/4/14,Missile Provocation,Short-range Ballistic Missile Launch
3/16/14,Missile Provocation,Short-range Missile Launch
3/22/14,Missile Provocation,Short-range Missile Launch
3/23/14,Missile Provocation,Short-range Missile Launch
3/26/14,Missile Provocation,Medium-range Ballistic Missile Launch
3/31/14,Other Provocation,NLL Exchange of Fire
5/22/14,Other Provocation,NLL Exchange of Fire
6/26/14,Missile Provocation,Short-range Missile Launch
6/29/14,Missile Provocation,Short-range Ballistic Missile Launch
7/2/14,Missile Provocation,Short-range Missile Launch
7/9/14,Missile Provocation,Short-range Ballistic Missile Launch
7/13/14,Missile Provocation,Short-range Ballistic Missile Launch
7/26/14,Missile Provocation,Short-range Ballistic Missile Launch
8/14/14,Missile Provocation,Short-range Ballistic Missile Launch
9/1/14,Missile Provocation,Short-range Ballistic Missile Launch
9/6/14,Missile Provocation,Short-range Ballistic Missile Launch
10/7/14,Other Provocation,NLL Exchange of Fire
10/10/14,Other Provocation,DMZ Exchange of Fire
10/19/14,Other Provocation,DMZ Exchange of Fire
2/7/15,Missile Provocation,Anti-Ship Cruise Missile Launch
2/8/15,Missile Provocation,Short-range Ballistic Missile Launch
3/2/15,Missile Provocation,Short-range Ballistic Missile Launch
3/13/15,Missile Provocation,Short-range Ballistic Missile Launch
4/2/15,Missile Provocation,Short-range Ballistic Missile Launch
4/3/15,Missile Provocation,Short-range Ballistic Missile Launch
5/8/15,Missile Provocation,Submarine Launched Ballistic Missile Launch
6/14/15,Missile Provocation,Anti-Ship Cruise Missile Launch
8/4/15,Other Provocation,Land Mine Explosion
8/20/15,Other Provocation,DMZ Exchange of Fire
11/28/15,Missile Provocation,Submarine Launched Ballistic Missile Launch
12/21/15,Missile Provocation,Submarine Launched Ballistic Missile Launch
1/6/16,Nuclear Provocation,Nuclear Test
2/7/16,Missile Provocation,Satellite Launch
3/3/16,Missile Provocation,Short-range Ballistic Missile Launch
3/10/16,Missile Provocation,Short-range Ballistic Missile Launch
3/18/16,Missile Provocation,Medium-range Ballistic Missile Launch
3/21/16,Missile Provocation,Short-range Ballistic Missile Launch
3/24/16,Other Provocation,Rocket Engine Test
3/29/16,Missile Provocation,Short-range Ballistic Missile Launch
4/1/16,Missile Provocation,Long-range Surface-to-Air Missile Launch
4/6/16,Missile Provocation,Submarine Launched Ballistic Missile Launch
4/9/16,Other Provocation,Rocket Engine Test
4/15/16,Missile Provocation,Intermediate-range Ballistic Missile Launch
4/23/16,Missile Provocation,Submarine Launched Ballistic Missile Launch
4/28/16,Missile Provocation,Intermediate-range Ballistic Missile Launch
5/31/16,Missile Provocation,Intermediate-range Ballistic Missile Launch
6/22/16,Missile Provocation,Intermediate-range Ballistic Missile Launch
7/9/16,Missile Provocation,Submarine Launched Ballistic Missile Launch
7/19/16,Missile Provocation,Medium-range Ballistic Missile Launch
8/3/16,Missile Provocation,Medium-range Ballistic Missile Launch
8/24/16,Missile Provocation,Submarine Launched Ballistic Missile Launch
9/5/16,Missile Provocation,Medium-range Ballistic Missile Launch
9/9/16,Nuclear Provocation,Nuclear Test
9/20/16,Other Provocation,Rocket Engine Test
10/15/16,Missile Provocation,Intermediate-range Ballistic Missile Launch
10/20/16,Missile Provocation,Intermediate-range Ballistic Missile Launch
2/12/17,Missile Provocation,Medium-range Ballistic Missile Launch
3/6/17,Missile Provocation,Medium-range Ballistic Missile Launch
3/18/17,Other Provocation,Rocket Engine Test
3/22/17,Missile Provocation,Ballistic Missile Launch (type unknown)
3/24/17,Other Provocation,Rocket Engine Test
4/5/17,Missile Provocation,Intermediate-range Ballistic Missile Launch
4/16/17,Missile Provocation,Intermediate-range Ballistic Missile Launch
4/29/17,Missile Provocation,Intermediate-range Ballistic Missile Launch
5/14/17,Missile Provocation,Intermediate-range Ballistic Missile Launch
5/21/17,Missile Provocation,Medium-range Ballistic Missile Launch
5/27/17,Missile Provocation,Short-range Missile Launch
5/29/17,Missile Provocation,Short-range Ballistic Missile Launch
6/8/17,Missile Provocation,Short-range Missile Launch
7/4/17,Missile Provocation,Intercontinental Ballistic Missile
7/28/17,Missile Provocation,Intercontinental Ballistic Missile
8/26/17,Missile Provocation,Short-range Ballistic Missile Launch
8/29/17,Missile Provocation,Ballistic Missile Launch (type unknown)
9/3/17,Nuclear Provocation,Nuclear Test
9/15/17,Missile Provocation,Intermediate-range Ballistic Missile Launch
5/3/19,Missile Provocation,Short-range Ballistic Missile Launch
5/9/19,Missile Provocation,Short-range Ballistic Missile Launch
7/25/19,Missile Provocation,Short-range Ballistic Missile Launch
7/31/19,Missile Provocation,Short-range Ballistic Missile Launch
8/2/19,Missile Provocation,Short-range Missile Launch
8/5/19,Missile Provocation,Short-range Ballistic Missile Launch
8/10/19,Missile Provocation,Short-range Ballistic Missile Launch
8/16/19,Missile Provocation,Short-range Missile Launch
8/24/19,Missile Provocation,Short-range Missile Launch
9/10/19,Missile Provocation,Short-range Missile Launch
10/2/19,Missile Provocation,Short-range Missile Launch
10/31/19,Missile Provocation,Short-range Missile Launch
11/28/19,Missile Provocation,Short-range Missile Launch
12/7/19,Other Provocation,Rocket Engine Test
12/13/19,Other Provocation,Rocket Engine Test
3/2/20,Missile Provocation,Short-range Missile Launch
3/6/20,Missile Provocation,Short-range Missile Launch
3/21/20,Missile Provocation,Short-range Missile Launch
4/14/20,Missile Provocation,Anti-Ship Cruise Missile Launch
6/16/20,Other Provocation,Exchange at the inter-Korean Joint Liaison Office
7/6/20,Missile Provocation,Anti-Ship Cruise Missile Launch
3/21/21,Missile Provocation,Anti-Ship Cruise Missile Launch
3/25/21,Missile Provocation,Short-range Ballistic Missile Launch
9/11/21,Missile Provocation,Long-range Cruise Missile Launch
9/12/21,Missile Provocation,Long-range Cruise Missile Launch
9/15/21,Missile Provocation,Short-range Missile Launch
9/28/21,Missile Provocation,Short-range Missile Launch
9/30/21,Missile Provocation,Anti-aircraft Missile Launch
10/19/21,Missile Provocation,Submarine Launched Ballistic Missile Launch
1/5/22,Missile Provocation,Short-range Missile Launch
1/11/22,Missile Provocation,Short-range Missile Launch
1/14/22,Missile Provocation,Short-range Ballistic Missile Launch
1/17/22,Missile Provocation,Short-range Missile Launch
1/25/22,Missile Provocation,Short-range Missile Launch
1/27/22,Missile Provocation,Short-range Ballistic Missile Launch
1/30/22,Missile Provocation,Intermediate-range Ballistic Missile Launch
2/27/22,Missile Provocation,Medium-range Ballistic Missile Launch
3/5/22,Missile Provocation,Medium-range Ballistic Missile Launch
3/16/22,Missile Provocation,Short-range Missile Launch
3/20/22,Other Provocation,Artillery Fire
3/24/22,Missile Provocation,Intercontinental Ballistic Missile
4/16/22,Missile Provocation,Short-range Missile Launch
5/4/22,Missile Provocation,Short-range Ballistic Missile Launch
5/7/22,Missile Provocation,Submarine Launched Ballistic Missile Launch
5/12/22,Missile Provocation,Short-range Ballistic Missile Launch
5/25/22,Other Provocation,Nuclear Detonation Device
5/25/22,Missile Provocation,Ballistic Missile Launch
6/5/22,Missile Provocation,Short-range Ballistic Missile Launch
6/12/22,Other Provocation,Artillery Fire
7/10/22,Other Provocation,Artillery Fire
8/17/22,Missile Provocation,Short-range Ballistic Missile Launch
9/25/22,Missile Provocation,Short-range Ballistic Missile Launch
9/28/22,Missile Provocation,Short-range Ballistic Missile Launch
9/29/22,Missile Provocation,Short-range Ballistic Missile Launch
10/1/22,Missile Provocation,Short-range Ballistic Missile Launch
10/4/22,Missile Provocation,Intermediate-range Ballistic Missile Launch
10/6/22,Other Provocation,Airplane Exercise
10/6/22,Missile Provocation,Short-range Ballistic Missile Launch
10/9/22,Missile Provocation,Short-range Ballistic Missile Launch
10/12/22,Missile Provocation,Long-range Cruise Missile Launch
10/14/22,Other Provocation,Airplane Exercise
10/14/22,Other Provocation,Artillery Fire
10/14/22,Missile Provocation,Short-range Ballistic Missile Launch
10/18/22,Other Provocation,Artillery Fire
10/19/22,Other Provocation,Artillery Fire
10/28/22,Missile Provocation,Short-range Ballistic Missile Launch
11/2/22,Missile Provocation,Short-range Ballistic Missile Launch
11/3/22,Missile Provocation,Intercontinental ballistic missile & SRBM
11/4/22,Other Provocation,Airplane Exercise
11/5/22,Missile Provocation,Short-range Ballistic Missile Launch
11/9/22,Missile Provocation,Short-range Ballistic Missile Launch
11/17/22,Missile Provocation,Short-range Ballistic Missile Launch
11/18/22,Missile Provocation,Intercontinental Ballistic Missile
12/6/22,Other Provocation,Artillery Fire
12/15/22,Other Provocation,Rocket Engine Test
12/18/22,Other Provocation,Satellite Launch
12/18/22,Missile Provocation,Medium-range Ballistic Missile Launch
12/23/22,Missile Provocation,Short-range Missile Launch
12/26/22,Other Provocation,Drones (UAVs)
12/31/22,Missile Provocation,Short-range Missile Launch
1/1/23,Other Provocation,Multiple Launch Rocket System (MLRS)
2/18/23,Missile Provocation,Intercontinental Ballistic Missile
2/20/23,Missile Provocation,Short-range Ballistic Missile Launch
2/23/23,Missile Provocation,Strategic cruise missile
3/9/23,Missile Provocation,Short-range Ballistic Missile Launch
3/12/23,Missile Provocation,Strategic cruise missile
3/14/23,Missile Provocation,Short-range Ballistic Missile Launch
3/16/23,Missile Provocation,Intercontinental Ballistic Missile
3/19/23,Missile Provocation,Short-range Ballistic Missile Launch
3/22/23,Missile Provocation,Long-range Cruise Missile Launch