Election Year,Election Type,Provocation Description,Provocation Year
11/6/56,General / Presidential,Plane Attack (Aerial Provocation),8/18/55
11/4/58,Congressional Midterm,Plane Attack (Aerial Provocation),3/6/58
11/8/60,General / Presidential,Territorial Incursion,7/30/60
11/6/62,Congressional Midterm,Attack on UN Post (DMZ),11/20/62
11/3/64,General / Presidential,Plane Attack (Aerial Provocation),11/14/64
11/8/66,Congressional Midterm,Exchange of Fire (Ground),11/2/66
11/5/68,General / Presidential,Exchange of Fire (Ground),11/3/68
11/3/70,Congressional Midterm,Exchange of Fire (Ground),10/25/70
11/7/72,General / Presidential,Territorial Incursion (Maritime),10/23/72
11/5/74,Congressional Midterm,Exchange of Fire (Ground),11/15/74
11/2/76,General / Presidential,Fishing Boat Seizure,8/30/76
11/7/78,Congressional Midterm,Infiltration and Exchange of Fire (Ground),11/7/78
11/4/80,General / Presidential,Infiltration and Exchange of Fire (Ground),11/4/80
11/2/82,Congressional Midterm,Fishing Boat Seizure East Sea,7/13/82
11/7/84,General / Presidential,Exchange of Fire (Ground),11/23/84
11/4/86,Congressional Midterm,Bombing at Gimpo Airport,9/14/86
11/8/88,General / Presidential,Bombing of KAL 858 (Aerial Provocation),11/29/87
11/6/90,Congressional Midterm,Medium-range Ballistic Missile Launch,5/1/90
11/6/90,Congressional Midterm,Short-range Ballistic Missile Launch,6/1/90
11/6/90,Congressional Midterm,Short-range Ballistic Missile Launch,7/1/91
11/3/92,General / Presidential,Infiltration and Incursion,5/22/92
11/3/92,General / Presidential,Medium-range Ballistic Missile Launch,6/1/92
11/3/92,General / Presidential,Medium-range Ballistic Missile Launch,5/29/93
11/8/94,Congressional Midterm,Anti-Ship Cruise Missile Launch,5/31/94
11/8/94,Congressional Midterm,Anti-Ship Cruise Missile Launch,6/2/94
11/8/94,Congressional Midterm,Attack on the U.S. Military,12/17/94
11/8/94,Congressional Midterm,Anti-Ship Cruise Missile Launch,3/31/95
11/8/94,Congressional Midterm,Exchange of Fire (Maritime),5/1/95
11/8/94,Congressional Midterm,Detainment of South Korean Vessel,8/1/95
11/8/94,Congressional Midterm,Infiltration and Incursion,10/17/95
11/8/94,Congressional Midterm,Infiltration and Incursion,10/25/95
11/5/96,General / Presidential,Territorial Provocation (Ground),4/5/96
11/5/96,General / Presidential,Infiltration and Incursion,9/18/96
11/5/96,General / Presidential,Exchange of Fire (Ground),9/19/96
11/5/96,General / Presidential,Exchange of Fire (Ground),9/21/96
11/5/96,General / Presidential,Exchange of Fire (Ground),9/22/96
11/5/96,General / Presidential,Exchange of Fire (Ground),9/28/96
11/5/96,General / Presidential,Exchange of Fire (Ground),9/30/96
11/5/96,General / Presidential,Exchange of Fire from Manhunt - Final Incident,11/5/96
11/5/96,General / Presidential,Exchange of Fire (Ground),4/10/97
11/5/96,General / Presidential,Anti-Ship Cruise Missile Launch,5/23/97
11/5/96,General / Presidential,Exchange of Fire (Ground),7/16/97
11/3/98,Congressional Midterm,Infiltration and Incursion,6/22/98
11/3/98,Congressional Midterm,Intermediate-range Ballistic Missile Launch,8/31/98
11/3/98,Congressional Midterm,Infiltration and Incursion,12/17/98
11/3/98,Congressional Midterm,The First Yeonpyeong Naval Campaign,6/15/99
11/7/00,General / Presidential,Territorial Incursion (Maritime),2/5/01
11/7/00,General / Presidential,Territorial Provocation (Ground),9/19/01
11/7/00,General / Presidential,Territorial Incursion (Ground),9/20/01
11/5/02,Congressional Midterm,Exchange of Fire (Ground),11/27/01
11/5/02,Congressional Midterm,Territorial Incursion (Maritime),12/22/01
11/5/02,Congressional Midterm,The Second Yeonpyeong Naval Campaign,6/29/02
11/5/02,Congressional Midterm,Anti-Ship Cruise Missile Launch,2/24/03
11/5/02,Congressional Midterm,Anti-Ship Cruise Missile Launch,3/10/03
11/5/02,Congressional Midterm,Anti-Ship Cruise Missile Launch,10/20/03
11/2/04,General / Presidential,Territorial Incursion (Maritime),11/1/04
11/2/04,General / Presidential,Anti-Ship Cruise Missile Launch,5/1/04
11/7/06,Congressional Midterm,Short-range Ballistic Missile Launch,3/7/06
11/7/06,Congressional Midterm,Inter-Continental Ballistic Missile/Short-Range Missile Launches,7/4/06
11/7/06,Congressional Midterm,Nuclear Test,10/9/06
11/7/06,Congressional Midterm,Short-range Ballistic Missile Launch,5/25/07
11/7/06,Congressional Midterm,Anti-Ship Cruise Missile Launch,6/7/07
11/7/06,Congressional Midterm,Short-range Ballistic Missile Launch,6/27/07
11/4/08,General / Presidential,Anti-Ship Cruise Missile Launch,3/28/08
11/4/08,General / Presidential,Anti-Ship Cruise Missile Launch,5/30/08
11/4/08,General / Presidential,Anti-Ship Cruise Missile Launch,10/7/08
11/4/08,General / Presidential,Satellite Launch,4/5/09
11/4/08,General / Presidential,Nuclear Test / Short-range missile launch,5/25/09
11/4/08,General / Presidential,Short-range Ballistic Missile Launch,5/26/09
11/4/08,General / Presidential,Short-range Ballistic Missile Launch,5/27/09
11/4/08,General / Presidential,Short-range Ballistic Missile Launch,5/29/09
11/4/08,General / Presidential,Short-range Ballistic Missile Launch,7/2/09
11/4/08,General / Presidential,Medium-range Ballistic Missile Launch,7/4/09
11/4/08,General / Presidential,Fishing Boat Seizure at NLL,7/30/09
11/4/08,General / Presidential,Short-range Ballistic Missile Launch,10/12/09
11/2/10,Congressional Midterm,Daecheong Naval Campaign,11/10/09
11/2/10,Congressional Midterm,Artillery Fire,1/27/10
11/2/10,Congressional Midterm,Sinking of the ROKS Cheonan,3/26/10
11/2/10,Congressional Midterm,Artillery Fire,8/9/10
11/2/10,Congressional Midterm,Shelling of Yeonpyeong Island,11/23/10
11/2/10,Congressional Midterm,Short-range Surface-to-Air Missile Launch,6/8/11
11/6/12,General / Presidential,Anti-Ship Cruise Missile Launch,3/29/12
11/6/12,General / Presidential,Satellite Launch,4/13/12
11/6/12,General / Presidential,Satellite Launch,12/12/12
11/6/12,General / Presidential,Nuclear Test,2/12/13
11/6/12,General / Presidential,Short-range Ballistic Missile Launch,3/15/13
11/6/12,General / Presidential,Nuclear Fuel Reactor Operation,4/2/13
11/6/12,General / Presidential,Short-range Ballistic Missile Launch,5/18/13
11/6/12,General / Presidential,Short-range Ballistic Missile Launch,5/19/13
11/6/12,General / Presidential,Short-range Ballistic Missile Launch,5/20/13
11/6/12,General / Presidential,Nuclear Fuel Reactor Operation,8/29/13
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,2/27/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,3/3/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,3/4/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,3/16/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,3/22/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,3/23/14
11/4/14,Congressional Midterm,Medium-range Ballistic Missile Launch,3/26/14
11/4/14,Congressional Midterm,NLL Exchange of Fire,3/31/14
11/4/14,Congressional Midterm,NLL Exchange of Fire,5/22/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,6/26/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,6/29/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,7/2/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,7/9/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,7/13/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,7/26/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,8/14/14
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,9/6/14
11/4/14,Congressional Midterm,NLL Exchange of Fire,10/7/14
11/4/14,Congressional Midterm,DMZ Exchange of Fire,10/10/14
11/4/14,Congressional Midterm,DMZ Exchange of Fire,10/19/14
11/4/14,Congressional Midterm,Anti-Ship Cruise Missile Launch,2/7/15
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,2/8/15
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,3/2/15
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,3/13/15
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,4/2/15
11/4/14,Congressional Midterm,Short-range Ballistic Missile Launch,4/3/15
11/4/14,Congressional Midterm,Anti-Ship Cruise Missile Launch,6/14/15
11/4/14,Congressional Midterm,Land Mine Explosion,8/4/15
11/4/14,Congressional Midterm,DMZ Exchange of Fire,8/20/15
11/8/16,General / Presidential,Submarine Launched Ballistic Missile Launch,11/28/15
11/8/16,General / Presidential,Nuclear Test,1/6/16
11/8/16,General / Presidential,Satellite Launch,2/7/16
11/8/16,General / Presidential,Short-range Ballistic Missile Launch,3/3/16
11/8/16,General / Presidential,Short-range Ballistic Missile Launch,3/10/16
11/8/16,General / Presidential,Medium-range Ballistic Missile Launch,3/18/16
11/8/16,General / Presidential,Short-range Ballistic Missile Launch,3/21/16
11/8/16,General / Presidential,Short-range Ballistic Missile Launch,3/29/16
11/8/16,General / Presidential,Long-range Surface-to-Air Missile Launch,4/1/16
11/8/16,General / Presidential,Submarine Launched Ballistic Missile Launch,4/6/16
11/8/16,General / Presidential,Intermediate-range Ballistic Missile Launch,4/15/16
11/8/16,General / Presidential,Submarine Launched Ballistic Missile Launch,4/23/16
11/8/16,General / Presidential,Intermediate-range Ballistic Missile Launch,4/28/16
11/8/16,General / Presidential,Intermediate-range Ballistic Missile Launch,5/31/16
11/8/16,General / Presidential,Intermediate-range Ballistic Missile Launch,6/22/16
11/8/16,General / Presidential,Submarine Launched Ballistic Missile Launch,7/9/16
11/8/16,General / Presidential,Medium-range Ballistic Missile Launch,7/19/16
11/8/16,General / Presidential,Medium-range Ballistic Missile Launch,8/3/16
11/8/16,General / Presidential,Submarine Launched Ballistic Missile Launch,8/24/16
11/8/16,General / Presidential,Medium-range Ballistic Missile Launch,9/5/16
11/8/16,General / Presidential,Nuclear Test,9/9/16
11/8/16,General / Presidential,Medium-range Ballistic Missile Launch,2/12/17
11/8/16,General / Presidential,Medium-range Ballistic Missile Launch,3/6/17
11/8/16,General / Presidential,Rocket Engine Test,3/18/17
11/8/16,General / Presidential,Ballistic Missile Launch (type unknown),3/22/17
11/8/16,General / Presidential,Rocket Engine Test,3/24/17
11/8/16,General / Presidential,Intermediate-range Ballistic Missile Launch,4/5/17
11/8/16,General / Presidential,Intermediate-range Ballistic Missile Launch,4/16/17
11/8/16,General / Presidential,Intermediate-range Ballistic Missile Launch,4/29/17
11/8/16,General / Presidential,Intermediate-range Ballistic Missile Launch,5/14/17
11/8/16,General / Presidential,Medium-range Ballistic Missile Launch,5/21/17
11/8/16,General / Presidential,Short-range Missile Launch,5/27/17
11/8/16,General / Presidential,Short-range Ballistic Missile Launch,5/29/17
11/8/16,General / Presidential,Short-range Missile Launch,6/8/17
11/8/16,General / Presidential,Inter-continental Ballistic Missile Launch,7/4/17
11/8/16,General / Presidential,Inter-continental Ballistic Missile Launch,7/28/17
11/8/16,General / Presidential,Short-range Ballistic Missile Launch,8/26/17
11/8/16,General / Presidential,Ballistic Missile Launch (type unknown),8/29/17
11/8/16,General / Presidential,Nuclear Test,9/3/17
11/8/16,General / Presidential,Intermediate-range Ballistic Missile Launch,9/15/17
11/6/18,Congressional Midterm,Short-range Ballistic Missile Launch,5/3/19
11/6/18,Congressional Midterm,Short-range Ballistic Missile Launch,5/9/19
11/6/18,Congressional Midterm,Short-range Ballistic Missile Launch,7/25/19
11/6/18,Congressional Midterm,Short-range Ballistic Missile Launch,7/31/19
11/6/18,Congressional Midterm,Short-range Missile Launch,8/2/19
11/6/18,Congressional Midterm,Short-range Ballistic Missile Launch,8/5/19
11/6/18,Congressional Midterm,Short-range Ballistic Missile Launch,8/10/19
11/6/18,Congressional Midterm,Short-range Missile Launch,8/16/19
11/6/18,Congressional Midterm,Short-range Missile Launch,8/24/19
11/6/18,Congressional Midterm,Short-range Missile Launch,9/10/19
11/6/18,Congressional Midterm,Short-range Missile Launch,10/2/19
11/3/20,General / Presidential,Short-range Missile Launch,3/2/20
11/3/20,General / Presidential,Short-range Missile Launch,3/6/20
11/3/20,General / Presidential,Short-range Missile Launch,3/21/20
11/3/20,General / Presidential,Short-range Missile Launch,4/14/20
11/3/20,General / Presidential,Explosion at inter-Korean joint liaison office,6/16/20
11/3/20,General / Presidential,Short-range Missile Launch,3/21/21
11/3/20,General / Presidential,Short-range Ballistic Missile Launch,3/25/21